_ID,_X,_Y
1,2657531.802900001,-642550.5357000008
1,2658375.584100001,-642934.7912000008
1,2658561.651900001,-643181.9774999991
1,2659627.287099998,-644597.6469999999
1,2660496.4353,-645007.4921000004
1,2660648.278299999,-647512.8561999984
1,2660494.5724,-647870.5700000003
1,2660954.850299999,-647947.7115000002
1,2661127.661699999,-647681.3018000014
1,2661150.498199999,-647646.0976000018
1,2661236.500799999,-647513.5170000009
1,2661824.398499999,-647897.567499999
1,2662233.926399998,-647361.1149999984
1,2662762.531,-647293.9545999989
1,2662790.686900001,-647290.3773000017
1,2663231.233199999,-647234.4048999995
1,2663870.790399998,-646979.3902999982
1,2664536.236000001,-646264.3093000017
1,2664510.748300001,-645855.2617000006
1,2664945.795899998,-645395.5227999985
1,2665170.1547,-645414.4466000013
1,2665559.590399999,-645447.3000000008
1,2665573.064300001,-645391.9277999997
1,2665764.775600001,-644603.8649000004
1,2665886.723000001,-644564.2391000018
1,2666941.171500001,-644221.621199999
1,2666730.182700001,-645009.6042999998
1,2666759.9584,-646048.3561000004
1,2666942.2597,-646985.6281999983
1,2667147.724300001,-647215.3326000013
1,2667353.228999998,-647445.0568999983
1,2667174.334100001,-647743.4574000016
1,2666995.399099998,-648041.8579000011
1,2666816.504299998,-648340.2584000006
1,2666876.777100001,-648629.7705000006
1,2666937.09,-648919.2826000005
1,2666997.362799998,-649208.7945999987
1,2667057.675700001,-649498.3066999987
1,2667117.9485,-649787.8187000006
1,2667178.261399999,-650077.3706
1,2667357.8376,-650392.3322999999
1,2667537.4137,-650707.2939999998
1,2667716.9899,-651022.2556999996
1,2667960.726100002,-651188.0071999989
1,2668204.502500001,-651353.7586999983
1,2668383.116799999,-652017.4422000013
1,2668558.0042,-653713.4802000001
1,2668641.204100002,-654541.6796999984
1,2668641.4989,-654544.567400001
1,2668690.539299998,-655032.7166000009
1,2668880.2544,-657281.9305000007
1,2669025.886999998,-657921.1409000009
1,2669607.094999999,-658376.4442999996
1,2670461.293900002,-658445.5987999998
1,2671316.995299999,-658366.6598000005
1,2671468.659600001,-658352.6686999984
1,2672224.674800001,-658298.7203000002
1,2672931.117199998,-658718.7888000011
1,2673360.040100001,-659367.6449000016
1,2673357.395199999,-660375.8651000001
1,2673039.399900001,-661393.4321999997
1,2672532.130399998,-662416.6191999987
1,2672264.6296,-664094.2824999988
1,2671953.8479,-665363.6953000017
1,2671377.9298,-667030.1185000017
